segment,team_a,team_b,journee,odds_h,odds_a,pick,cote,strength,actual,won,roi,n_supporting
FS,Sunderland,West Ham,34,5.14,1.62,1,5.14,1.094,2,False,-1.0,2
FS,Burnley,London Reds,34,9.63,1.34,1,9.63,0.544,2,False,-1.0,1
FS,Leeds,Liverpool,35,9.71,1.26,1,9.71,0.544,2,False,-1.0,1
FS,London Blues,N. Forest,36,1.41,7.06,1,1.41,0.65,X,False,-1.0,1
DS,Brighton,Liverpool,1,2.6,2.36,1,2.6,0.656,1,True,1.6,1
DS,Burnley,London Reds,1,10.05,1.32,2,1.32,0.52,2,True,0.32000000000000006,1
DS,Brentford,Everton,2,1.73,4.47,2,4.47,0.472,X,False,-1.0,1
DS,C. Palace,Brighton,2,2.27,2.76,1,2.27,0.656,X,False,-1.0,1
DS,N. Forest,Manchester Blue,2,4.56,1.77,2,1.77,1.0,1,False,-1.0,1
DS,Bournemouth,London Blues,3,2.44,2.81,2,2.81,0.8,2,True,1.81,1
DS,West Ham,N. Forest,3,1.83,3.88,1,1.83,0.746,1,True,0.8300000000000001,1
DS,Brighton,London Reds,3,4.3,1.77,2,1.77,1.0,1,False,-1.0,1
MS_early,Leeds,London Blues,8,5.79,1.51,1,5.79,0.448,2,False,-1.0,1
MS_early,Bournemouth,Fulham,9,2.49,2.83,1,2.49,0.34199999999999997,1,True,1.4900000000000002,1
MS_early,Leeds,Newcastle,10,7.61,1.35,1,7.61,0.448,2,False,-1.0,1
MS_early,Spurs,Bournemouth,10,1.64,4.17,2,4.17,0.5,X,False,-1.0,1
MS_early,Bournemouth,Brentford,11,2.63,2.7,1,2.63,0.34199999999999997,1,True,1.63,1
MS_early,Sunderland,Newcastle,12,9.4,1.29,1,9.4,0.448,2,False,-1.0,1
MS_early,Everton,Bournemouth,12,2.13,3.27,2,3.27,0.5,X,False,-1.0,1
MS_late,Burnley,Manchester Blue,26,7.91,1.41,2,1.41,0.496,2,True,0.4099999999999999,1
FS,Spurs,London Blues,35,1.89,3.39,1,1.89,1.0,1,True,0.8899999999999999,1
FS,Fulham,C. Palace,35,2.11,3.3,2,3.3,1.0,1,False,-1.0,1
FS,N. Forest,London Reds,34,4.97,1.72,1,4.97,0.44,1,True,3.9699999999999998,1
FS,London Blues,Wolverhampton,34,1.43,6.79,1,1.43,0.65,2,False,-1.0,1
FS,Sunderland,Leeds,34,3.17,2.34,1,3.17,0.55,X,False,-1.0,1
FS,Sunderland,Brighton,37,8.36,1.31,1,8.36,1.094,X,False,-1.0,2
FS,Burnley,Liverpool,37,5.5,1.54,1,5.5,0.544,2,False,-1.0,1
FS,Spurs,Newcastle,37,2.26,2.65,1,2.26,0.746,1,True,1.2599999999999998,1
FS,Bournemouth,Manchester Blue,37,5.08,1.69,1,5.08,0.544,2,False,-1.0,1
FS,Brentford,London Reds,37,4.57,1.68,1,4.57,0.44,X,False,-1.0,1
DS,Leeds,West Ham,1,4.27,1.76,2,1.76,2.0,2,True,0.76,2
MS_early,Sunderland,Manchester Blue,4,19.46,1.14,1,19.46,0.448,2,False,-1.0,1
DS,Bournemouth,West Ham,3,1.96,3.71,2,3.71,1.472,1,False,-1.0,2
MS_early,Sunderland,London Blues,6,6.95,1.43,1,6.95,0.448,X,False,-1.0,1
MS_early,Burnley,Fulham,7,3.47,2.09,1,3.47,0.48,X,False,-1.0,1
MS_early,Bournemouth,Manchester Red,7,2.3,3.12,1,2.3,0.34199999999999997,2,False,-1.0,1
MS_early,Burnley,Manchester Blue,9,8.2,1.4,1,8.2,0.448,2,False,-1.0,1
MS_early,N. Forest,Bournemouth,8,1.79,3.97,2,3.97,0.5,1,False,-1.0,1
MS_early,Sunderland,West Ham,8,5.0,1.64,1,5.0,0.448,2,False,-1.0,1
MS_early,Leeds,Burnley,8,3.2,2.04,1,3.2,0.48,X,False,-1.0,1
MS_early,Leeds,Spurs,12,6.23,1.43,1,6.23,0.448,2,False,-1.0,1
MS_early,N. Forest,Liverpool,12,3.03,2.18,1,3.03,0.48,X,False,-1.0,1
MS_early,Sunderland,C. Palace,10,6.41,1.52,1,6.41,0.448,1,True,5.41,1
MS_early,Bournemouth,Burnley,10,1.7,4.49,1,1.7,0.5,1,True,0.7,1
MS_late,West Ham,London Reds,33,6.51,1.47,2,1.47,0.496,2,True,0.47,1
FS,Burnley,Sunderland,34,2.5,2.69,2,2.69,0.55,1,False,-1.0,1
FS,London Blues,Spurs,34,1.78,3.86,2,3.86,1.0,1,False,-1.0,1
FS,Sunderland,London Reds,35,22.78,1.12,1,22.78,1.094,2,False,-1.0,2
FS,Spurs,Wolverhampton,35,1.53,5.13,1,1.53,1.0,1,True,0.53,1
FS,Leeds,Manchester Blue,35,15.04,1.18,1,15.04,0.544,2,False,-1.0,1
FS,Manchester Blue,C. Palace,36,1.3,8.92,2,8.92,1.0,X,False,-1.0,1
FS,Sunderland,A. Villa,37,6.0,1.54,1,6.0,1.094,2,False,-1.0,2
FS,Leeds,London Blues,37,5.82,1.52,1,5.82,0.544,X,False,-1.0,1
FS,Spurs,Liverpool,37,2.63,2.25,1,2.63,0.746,1,True,1.63,1
DS,Fulham,Spurs,1,2.27,2.67,1,2.27,0.306,X,False,-1.0,1
DS,Leeds,Brighton,1,6.11,1.44,2,1.44,0.52,2,True,0.43999999999999995,1
DS,West Ham,Fulham,3,2.51,2.6,1,2.51,1.6560000000000001,2,False,-1.0,2
MS_early,Burnley,Manchester Red,4,3.13,2.28,1,3.13,0.48,2,False,-1.0,1
MS_early,West Ham,Bournemouth,6,2.08,3.04,2,3.04,0.5,2,True,2.04,1
