id,match_key,external_id,sport,competition,team_a,team_b,round_info,source_url,first_seen_at
1,InstantLeague-8035|4|A. Villa|West Ham,68524557,Virtual Football,InstantLeague-8035,A. Villa,West Ham,4,https://bet261.mg/virtual/category/instant-league/8035/matches,2026-05-28 21:16:11.887660
2,InstantLeague-8035|4|Newcastle|Manchester Red,68524558,Virtual Football,InstantLeague-8035,Newcastle,Manchester Red,4,https://bet261.mg/virtual/category/instant-league/8035/matches,2026-05-28 21:16:11.895137
3,InstantLeague-8035|4|Manchester Blue|Fulham,68524559,Virtual Football,InstantLeague-8035,Manchester Blue,Fulham,4,https://bet261.mg/virtual/category/instant-league/8035/matches,2026-05-28 21:16:11.901871
4,InstantLeague-8035|4|Liverpool|Spurs,68524560,Virtual Football,InstantLeague-8035,Liverpool,Spurs,4,https://bet261.mg/virtual/category/instant-league/8035/matches,2026-05-28 21:16:11.907866
5,InstantLeague-8035|4|London Reds|Wolverhampton,68524561,Virtual Football,InstantLeague-8035,London Reds,Wolverhampton,4,https://bet261.mg/virtual/category/instant-league/8035/matches,2026-05-28 21:16:11.911115
6,InstantLeague-8035|4|Burnley|London Blues,68524562,Virtual Football,InstantLeague-8035,Burnley,London Blues,4,https://bet261.mg/virtual/category/instant-league/8035/matches,2026-05-28 21:16:11.914581
7,InstantLeague-8035|4|Everton|C. Palace,68524563,Virtual Football,InstantLeague-8035,Everton,C. Palace,4,https://bet261.mg/virtual/category/instant-league/8035/matches,2026-05-28 21:16:11.918582
8,InstantLeague-8035|4|N. Forest|Brentford,68524564,Virtual Football,InstantLeague-8035,N. Forest,Brentford,4,https://bet261.mg/virtual/category/instant-league/8035/matches,2026-05-28 21:16:11.918582
9,InstantLeague-8035|4|Brighton|Sunderland,68524565,Virtual Football,InstantLeague-8035,Brighton,Sunderland,4,https://bet261.mg/virtual/category/instant-league/8035/matches,2026-05-28 21:16:11.918582
10,InstantLeague-8035|4|Leeds|Bournemouth,68524566,Virtual Football,InstantLeague-8035,Leeds,Bournemouth,4,https://bet261.mg/virtual/category/instant-league/8035/matches,2026-05-28 21:16:11.926700
