id,event_id,score_a,score_b,raw_score,finished_at,scrape_run_id
1,11,0,1,0:1,2026-05-28 21:16:11.937075,1
2,12,3,1,3:1,2026-05-28 21:16:11.938074,1
3,13,3,1,3:1,2026-05-28 21:16:11.938074,1
4,14,2,1,2:1,2026-05-28 21:16:11.948521,1
5,15,0,2,0:2,2026-05-28 21:16:11.952398,1
6,16,1,3,1:3,2026-05-28 21:16:11.956677,1
7,17,3,2,3:2,2026-05-28 21:16:11.960330,1
8,18,0,1,0:1,2026-05-28 21:16:11.963335,1
9,19,1,2,1:2,2026-05-28 21:16:11.966158,1
10,20,0,2,0:2,2026-05-28 21:16:11.968824,1
11,21,0,2,0:2,2026-05-28 21:16:11.972218,1
12,22,1,2,1:2,2026-05-28 21:16:11.975518,1
13,23,0,2,0:2,2026-05-28 21:16:11.980417,1
14,24,2,2,2:2,2026-05-28 21:16:11.983430,1
15,25,0,1,0:1,2026-05-28 21:16:11.986208,1
16,26,3,2,3:2,2026-05-28 21:16:11.988206,1
17,27,3,1,3:1,2026-05-28 21:16:11.991726,1
18,28,1,1,1:1,2026-05-28 21:16:11.992723,1
19,29,4,2,4:2,2026-05-28 21:16:11.992723,1
20,30,1,2,1:2,2026-05-28 21:16:11.998270,1
21,31,0,2,0:2,2026-05-28 21:16:12.001523,1
22,32,1,1,1:1,2026-05-28 21:16:12.004135,1
23,33,3,0,3:0,2026-05-28 21:16:12.004135,1
24,34,3,2,3:2,2026-05-28 21:16:12.010312,1
25,35,0,2,0:2,2026-05-28 21:16:12.010312,1
26,36,2,1,2:1,2026-05-28 21:16:12.010312,1
27,37,2,0,2:0,2026-05-28 21:16:12.010312,1
28,38,1,2,1:2,2026-05-28 21:16:12.020262,1
29,39,1,1,1:1,2026-05-28 21:16:12.023021,1
30,40,0,3,0:3,2026-05-28 21:16:12.046475,1
31,51,3,1,3:1,2026-05-28 21:22:29.981506,2
32,52,3,1,3:1,2026-05-28 21:22:29.991919,2
33,53,1,0,1:0,2026-05-28 21:22:29.996107,2
34,54,1,4,1:4,2026-05-28 21:22:29.999150,2
35,55,2,2,2:2,2026-05-28 21:22:29.999150,2
36,56,2,2,2:2,2026-05-28 21:22:30.007401,2
37,57,1,2,1:2,2026-05-28 21:22:30.007684,2
38,58,0,2,0:2,2026-05-28 21:22:30.007684,2
39,59,5,0,5:0,2026-05-28 21:22:30.016142,2
40,60,5,1,5:1,2026-05-28 21:22:30.016142,2
41,61,3,0,3:0,2026-05-28 21:22:30.025551,2
42,62,4,2,4:2,2026-05-28 21:22:30.025551,2
