cond,cval,mkt,sel,n_tr,wr_tr,roi_tr,n_oos,wr_oos,avg_cote,roi_oos,wins_oos,roi_h1,roi_h2
profxseg,away_slight|MS_mid,Total equipe extérieur,> 3.5,179,0.1005586592178771,0.19955307262569832,81,0.19753086419753085,12.306543209876544,1.306172839506173,16,1.0118421052631579,1.5662790697674418
profxobin,"home_slight|[5.0,8.0)",Total equipe domicile,> 3.5,172,0.1569767441860465,0.10686046511627909,50,0.26,7.046200000000002,0.8430000000000001,13,0.5913043478260869,1.0574074074074074
favxseg,Afav<1.6|MS_early,Les deux équipes marquent / 1ère mi temps,Oui,66,0.30303030303030304,0.27106060606060606,35,0.4,4.663142857142859,0.7865714285714286,14,0.5941176470588236,0.9683333333333333
profxseg,away_strong|MS_early,Les deux équipes marquent / 1ère mi temps,Oui,66,0.30303030303030304,0.27106060606060606,35,0.4,4.663142857142859,0.7865714285714286,14,0.5941176470588236,0.9683333333333333
profxseg,home_slight|DS,Minute du premier but,46-60,116,0.1724137931034483,0.2993103448275863,43,0.23255813953488372,7.526279069767441,0.7713953488372094,10,1.1124,0.29777777777777786
profxseg,away_slight|MS_late,Total de buts,1,86,0.1744186046511628,0.1456976744186046,57,0.24561403508771928,6.931403508771929,0.6657894736842106,14,1.2736666666666665,-0.009629629629629655
prof,away_slight,Total de buts,6,270,0.044444444444444446,0.11633333333333336,136,0.058823529411764705,27.04294117647059,0.653014705882353,8,0.7871212121212121,0.5265714285714286
profxobin,"away_slight|[8.0,35.0)",Total de buts,6,269,0.04460966542750929,0.1204832713754647,136,0.058823529411764705,27.04294117647059,0.653014705882353,8,0.7871212121212121,0.5265714285714286
favxseg,Hfav<1.3|MS_late,Total de buts,1,76,0.11842105263157894,0.2985526315789473,34,0.14705882352941177,10.94558823529412,0.4611764705882354,5,-0.4555555555555555,1.4925000000000002
profxseg,home_crush|MS_late,Total de buts,1,76,0.11842105263157894,0.2985526315789473,34,0.14705882352941177,10.94558823529412,0.4611764705882354,5,-0.4555555555555555,1.4925000000000002
profxseg,home_slight|MS_early,Total de buts,1,322,0.14906832298136646,0.1441614906832298,132,0.19696969696969696,7.740378787878788,0.4556060606060606,26,0.5281355932203391,0.396986301369863
profxseg,home_crush|MS_late,Total de buts,6,76,0.14473684210526316,1.145921052631579,34,0.11764705882352941,13.760294117647058,0.44058823529411756,4,0.20888888888888887,0.7012499999999999
favxseg,Hfav<1.3|MS_late,Total de buts,6,76,0.14473684210526316,1.145921052631579,34,0.11764705882352941,13.760294117647058,0.44058823529411756,4,0.20888888888888887,0.7012499999999999
profxseg,away_slight|DS,Minute du premier but,1-15,44,0.3409090909090909,0.46954545454545465,20,0.3,4.226999999999999,0.29700000000000004,6,0.4255555555555556,0.19181818181818186
profxseg,other|MS_early,Total equipe extérieur,> 3.5,126,0.07936507936507936,0.5027777777777779,56,0.07142857142857142,23.82821428571429,0.29017857142857145,4,0.2376666666666667,0.35076923076923067
favxseg,Hfav<1.6|DS,G/NG equipe domicile,Non,79,0.1518987341772152,0.4813924050632912,32,0.125,9.555,0.2528125,4,-0.33187500000000003,0.8374999999999999
profxseg,home_strong|DS,G/NG equipe domicile,Non,79,0.1518987341772152,0.4813924050632912,32,0.125,9.555,0.2528125,4,-0.33187500000000003,0.8374999999999999
profxseg,home_slight|MS_early,Minute du premier but,46-60,293,0.16040955631399317,0.21860068259385665,132,0.16666666666666666,7.624999999999999,0.25121212121212116,22,0.683728813559322,-0.09835616438356166
profxseg,away_slight|MS_late,Minute du premier but,46-60,80,0.1875,0.36899999999999994,57,0.15789473684210525,7.444035087719298,0.21631578947368418,9,0.29366666666666663,0.13037037037037036
profxobin,"away_strong|[3.5,5.0)",Total de buts,3,183,0.32786885245901637,0.15803278688524586,85,0.3411764705882353,3.539999999999999,0.2071764705882353,29,-0.012790697674418643,0.4323809523809523
profxseg,home_crush|DS,Total de buts,2,41,0.3170731707317073,0.714390243902439,11,0.2727272727272727,5.126363636363636,0.1954545454545454,3,0.3366666666666666,0.14249999999999996
favxseg,Hfav<1.3|DS,Total de buts,2,41,0.3170731707317073,0.714390243902439,11,0.2727272727272727,5.126363636363636,0.1954545454545454,3,0.3366666666666666,0.14249999999999996
profxseg,home_strong|MS_early,Total de buts,6,189,0.07407407407407407,0.32756613756613756,68,0.058823529411764705,19.602352941176466,0.1939705882352941,4,-0.41000000000000003,0.7979411764705883
favxseg,Hfav<1.6|MS_early,Total de buts,6,189,0.07407407407407407,0.32756613756613756,68,0.058823529411764705,19.602352941176466,0.1939705882352941,4,-0.41000000000000003,0.7979411764705883
