name,definition,n_train,wr_train,roi_train,n_oos,wr_oos,cote_oos,roi_oos,n_oos1,roi_oos1,n_oos2,roi_oos2
VB-1 home value edge 10 large,"bet HOME: odds_home in [2.0,6.0) AND (train_home_WR(team_a) - 1/odds_home) >= 0.10",453,0.3068432671081678,0.04523178807947019,176,0.35795454545454547,3.66125,0.19693181818181812,87,-0.09471264367816094,89,0.4820224719101123
VB-2 home value edge 10 mid-odds,"bet HOME: odds_home in [2.5,3.5) AND (train_home_WR(team_a) - 1/odds_home) >= 0.10",135,0.37037037037037035,0.05614814814814816,51,0.49019607843137253,2.892941176470588,0.4080392156862745,24,0.5245833333333333,27,0.3044444444444444
"VB-3 home value edge 05 [2.5,3.5)","bet HOME: odds_home in [2.5,3.5) AND edge_home >= 0.05",167,0.3652694610778443,0.04305389221556888,62,0.45161290322580644,2.897258064516128,0.2990322580645162,29,0.3620689655172414,33,0.24363636363636362
VB-4 home segdelta 08,"bet HOME: odds_home in [2.0,6.0) AND train (home_WR_segment - home_WR_global)(team_a) >= 0.08 (n_seg>=6)",89,0.550561797752809,0.49505617977528094,33,0.45454545454545453,2.847878787878788,0.17878787878787875,14,-0.4807142857142857,19,0.6647368421052631
VB-5 union edge|segdelta,"bet HOME: odds_home in [2.0,6.0) AND (edge_home>=0.10 OR home segdelta>=0.08)",512,0.3359375,0.07351562499999999,200,0.375,3.5082999999999998,0.1936,96,-0.10385416666666665,104,0.4681730769230769
VB-6 home longshot global,"bet HOME: odds_home in [4.0,6.0)",333,0.2132132132132132,0.04471471471471475,124,0.23387096774193547,4.884032258064516,0.10016129032258063,59,-0.4450847457627119,65,0.5950769230769231
VB-7 home longshot edge>=0,"bet HOME: odds_home in [4.0,6.0) AND edge_home >= 0",205,0.2048780487804878,0.0025365853658536565,74,0.24324324324324326,4.892837837837837,0.16972972972972972,36,-0.35222222222222227,38,0.6642105263157895
"VB-8 home edge 10 [2.0,3.0)","bet HOME: odds_home in [2.0,3.0) AND edge_home >= 0.10",161,0.40372670807453415,0.009192546583850924,60,0.5166666666666667,2.4976666666666665,0.2946666666666667,31,0.13935483870967744,29,0.4606896551724138
"VB-9 rebond prevL [2.5,4.0)","bet HOME: odds_home in [2.5,4.0) AND team_a lost previous home match",241,0.33195020746887965,-0.005435684647302914,87,0.3563218390804598,3.202988505747127,0.11999999999999997,49,-0.07938775510204081,38,0.37710526315789467
VB-10 edge 10 + prevL,"bet HOME: odds_home in [2.0,6.0) AND edge_home>=0.10 AND lost previous home match",125,0.32,0.1828,36,0.5,3.9605555555555565,0.7461111111111111,11,0.17999999999999997,25,0.9952000000000001
