name,side,definition,n_train,wr_train,roi_train,n_oos,wr_oos,avg_cote_oos,roi_oos
"H1 H DS cote[2.0,2.5)",H,"bet H: odds_home in [2.0,2.5) AND segment=DS",63,0.4444444444444444,-0.0007936507936507767,26,0.5,2.227307692307692,0.10153846153846156
"H1 H MS_early cote[2.0,2.5)",H,"bet H: odds_home in [2.0,2.5) AND segment=MS_early",170,0.43529411764705883,-0.046235294117647055,84,0.39285714285714285,2.2310714285714286,-0.1236904761904762
"H1 H MS_mid cote[2.0,2.5)",H,"bet H: odds_home in [2.0,2.5) AND segment=MS_mid",249,0.41365461847389556,-0.08907630522088353,100,0.41,2.2168,-0.09720000000000004
"H1 H MS_late cote[2.0,2.5)",H,"bet H: odds_home in [2.0,2.5) AND segment=MS_late",148,0.42567567567567566,-0.06533783783783785,74,0.47297297297297297,2.2201351351351346,0.05351351351351352
"H1 H FS cote[2.0,2.5)",H,"bet H: odds_home in [2.0,2.5) AND segment=FS",67,0.373134328358209,-0.1837313432835821,15,0.4666666666666667,2.194666666666667,0.022666666666666686
"H1 H ALL cote[2.0,2.5)",H,"bet H: odds_home in [2.0,2.5)",697,0.42037302725968434,-0.07470588235294118,299,0.431438127090301,2.2214381270903005,-0.04404682274247493
"H1 H DS cote[2.5,3.0)",H,"bet H: odds_home in [2.5,3.0) AND segment=DS",38,0.39473684210526316,0.04921052631578949,12,0.4166666666666667,2.6675000000000004,0.09916666666666667
"H1 H MS_early cote[2.5,3.0)",H,"bet H: odds_home in [2.5,3.0) AND segment=MS_early",84,0.34523809523809523,-0.09023809523809524,29,0.2413793103448276,2.682413793103448,-0.35344827586206895
"H1 H MS_mid cote[2.5,3.0)",H,"bet H: odds_home in [2.5,3.0) AND segment=MS_mid",114,0.40350877192982454,0.08894736842105264,46,0.4782608695652174,2.664565217391304,0.2741304347826087
"H1 H MS_late cote[2.5,3.0)",H,"bet H: odds_home in [2.5,3.0) AND segment=MS_late",78,0.358974358974359,-0.05025641025641027,28,0.39285714285714285,2.6946428571428567,0.04071428571428574
"H1 H FS cote[2.5,3.0)",H,"bet H: odds_home in [2.5,3.0) AND segment=FS",35,0.2571428571428571,-0.3131428571428572,10,0.4,2.645,0.048
"H1 H ALL cote[2.5,3.0)",H,"bet H: odds_home in [2.5,3.0)",349,0.3638968481375358,-0.029942693409742125,125,0.392,2.674159999999999,0.04135999999999999
"H1 H DS cote[3.0,4.0)",H,"bet H: odds_home in [3.0,4.0) AND segment=DS",19,0.21052631578947367,-0.2563157894736842,13,0.3076923076923077,3.548461538461538,0.07461538461538456
"H1 H MS_early cote[3.0,4.0)",H,"bet H: odds_home in [3.0,4.0) AND segment=MS_early",79,0.3291139240506329,0.16582278481012658,35,0.2857142857142857,3.520571428571429,-0.031714285714285695
"H1 H MS_mid cote[3.0,4.0)",H,"bet H: odds_home in [3.0,4.0) AND segment=MS_mid",103,0.23300970873786409,-0.20436893203883497,49,0.24489795918367346,3.467959183673469,-0.11979591836734692
"H1 H MS_late cote[3.0,4.0)",H,"bet H: odds_home in [3.0,4.0) AND segment=MS_late",47,0.2978723404255319,0.07255319148936172,38,0.2894736842105263,3.5294736842105263,-0.005789473684210508
"H1 H FS cote[3.0,4.0)",H,"bet H: odds_home in [3.0,4.0) AND segment=FS",24,0.2916666666666667,-0.037916666666666675,4,0.0,3.4825,-1.0
"H1 H ALL cote[3.0,4.0)",H,"bet H: odds_home in [3.0,4.0)",272,0.2757352941176471,-0.03794117647058824,139,0.26618705035971224,3.505971223021583,-0.07359712230215829
"H1 H DS cote[4.0,6.0)",H,"bet H: odds_home in [4.0,6.0) AND segment=DS",36,0.08333333333333333,-0.6002777777777778,9,0.2222222222222222,4.83,0.03666666666666658
"H1 H MS_early cote[4.0,6.0)",H,"bet H: odds_home in [4.0,6.0) AND segment=MS_early",84,0.20238095238095238,0.0014285714285714299,30,0.2,5.051333333333333,-0.039333333333333324
"H1 H MS_mid cote[4.0,6.0)",H,"bet H: odds_home in [4.0,6.0) AND segment=MS_mid",120,0.21666666666666667,0.049333333333333326,50,0.24,4.8114,0.1402
"H1 H MS_late cote[4.0,6.0)",H,"bet H: odds_home in [4.0,6.0) AND segment=MS_late",55,0.18181818181818182,-0.08327272727272728,26,0.23076923076923078,4.805384615384615,0.07615384615384614
"H1 H FS cote[4.0,6.0)",H,"bet H: odds_home in [4.0,6.0) AND segment=FS",37,0.3783783783783784,0.8345945945945946,8,0.375,5.1775,0.7762500000000001
"H1 H ALL cote[4.0,6.0)",H,"bet H: odds_home in [4.0,6.0)",332,0.21084337349397592,0.03231927710843377,123,0.23577235772357724,4.893821138211382,0.11666666666666668
"H1 H DS cote[1.0,1.3)",H,"bet H: odds_home in [1.0,1.3) AND segment=DS",42,0.8095238095238095,-0.017380952380952396,11,0.7272727272727273,1.23,-0.10545454545454547
